feature,importance
max_ICULOS,0.0489652075769304
n_time_steps,0.04139660028019047
SBP_missing_trend,0.02024088631999301
MAP_missing_trend,0.016379702220592103
Lactate_missing_mean,0.015605952395362034
FiO2_miss_rate,0.01550813005610692
pH_missing_trend,0.014575450007449144
FiO2_missing_std,0.01388314670769338
BaseExcess_missing_trend,0.013513627735894845
HR_missing_trend,0.013313992500574337
Lactate_miss_rate,0.012971648477484452
Lactate_missing_std,0.012825731132557857
PaCO2_missing_trend,0.012819447021557752
DBP_missing_trend,0.01207512999021351
FiO2_missing_mean,0.011779032351916185
Lactate_missing_min,0.011042523073862241
Potassium_missing_trend,0.01099022063468815
Hct_missing_trend,0.010715067582629878
Resp_missing_trend,0.009667655153929852
FiO2_missing_trend,0.009347998816836537
Glucose_missing_trend,0.008815153561190954
O2Sat_missing_trend,0.007736297950067871
PTT_missing_trend,0.007665095500467687
Platelets_missing_trend,0.00751036849871538
Temp_max,0.007328771636341196
BaseExcess_missing_mean,0.007298839901478955
SaO2_missing_trend,0.007079495553292914
BaseExcess_missing_std,0.006897140989400738
BUN_max,0.006725662617991288
Creatinine_missing_trend,0.006159507562390114
Resp_mean,0.005566487091661799
BUN_last,0.00512647066577212
Chloride_missing_trend,0.005075567972480406
PaCO2_missing_mean,0.005063332521534983
BaseExcess_std,0.004979836947687609
Temp_mean,0.004945254637755292
DBP_missing_last,0.004937768997441453
Hgb_missing_trend,0.004830425584652425
HCO3_missing_trend,0.004820162584748947
SBP_std,0.004797432077164109
BUN_missing_trend,0.0047890017319905075
Lactate_min,0.004666263122396396
Calcium_missing_trend,0.004577401051187816
Lactate_last,0.004464138990540722
O2Sat_trend,0.00444094739719304
WBC_missing_trend,0.004434836308317004
BaseExcess_miss_rate,0.004341525151287895
Temp_last,0.004322200241736901
Hct_max,0.004154505513945243
Temp_missing_trend,0.004125212341732659
pH_miss_rate,0.004018886508133063
BUN_mean,0.003997549878084626
Phosphate_miss_rate,0.0039424440365605495
Calcium_miss_rate,0.00393815844720407
Calcium_missing_std,0.0038490085153232005
pH_missing_std,0.0038297194700747926
Lactate_std,0.0038157042524447557
PaCO2_missing_std,0.0037547233512310453
Lactate_missing_trend,0.0037500635716742683
Magnesium_missing_trend,0.0037407390879896866
WBC_min,0.003732094321061622
Creatinine_max,0.0037078190132560068
HCO3_std,0.0036183501005470717
Chloride_std,0.003602073907178577
PaCO2_std,0.0035799159384542777
Resp_min,0.0035424919892321108
SBP_max,0.0035388727021138716
Calcium_missing_mean,0.0035163668050813305
Hct_missing_mean,0.0035050953074469366
BUN_std,0.003437011951387836
SBP_missing_mean,0.0034000537274314437
PaCO2_miss_rate,0.0033506756379449282
HR_min,0.003299771798662466
Phosphate_missing_mean,0.0032092293623392403
Hgb_last,0.0032037981639125943
Chloride_trend,0.003200027332971355
Glucose_min,0.0031774105861254297
Resp_trend,0.0031758641927971763
Phosphate_missing_std,0.0031623445205518647
MAP_mean,0.003156934354717578
SBP_last,0.0031363668073499445
HospAdmTime,0.0031151062064005376
Hct_miss_rate,0.0031117525901823203
pH_missing_min,0.003109623124963343
Hct_mean,0.0031040542138326055
Phosphate_missing_trend,0.0030827248101218505
HospAdmTime_val,0.003039802078026847
Creatinine_last,0.003022374998599562
Creatinine_mean,0.003017057261213977
pH_missing_mean,0.00295190431763132
WBC_last,0.0028856207660473204
BUN_min,0.0028708452390558826
Creatinine_min,0.002864912063129055
Age,0.002839523181652602
Potassium_trend,0.0028236954900261626
BaseExcess_max,0.002809880389490635
Hgb_mean,0.00274880810807972
HR_max,0.0027421448618479777
FiO2_missing_last,0.0027336931221515785
BUN_missing_mean,0.002724171881762715
Platelets_trend,0.0027012235738311206
pH_mean,0.002651922525735051
Calcium_std,0.002616573253234613
Temp_min,0.002614318978020943
Hgb_max,0.0026094639488870083
Hct_std,0.0025881294556558483
MAP_trend,0.0025809109447240543
Unit2,0.002571843396553822
WBC_miss_rate,0.002532198883617636
Potassium_std,0.002528731808833528
HCO3_trend,0.0024988167071713493
Phosphate_min,0.0024566183278919075
SBP_miss_rate,0.0024536442551516876
pH_std,0.0024383588744406157
Temp_trend,0.0024196645377283026
Phosphate_std,0.0024103603351201025
Hgb_min,0.002393651658080828
WBC_mean,0.002378964253528831
BUN_miss_rate,0.0023626471110973282
Hct_missing_std,0.002342709625279304
WBC_max,0.0023216075985412216
Phosphate_last,0.0023120482681817387
Glucose_std,0.002291270442472927
SBP_trend,0.002291263372736015
BaseExcess_mean,0.002288280066572701
HR_last,0.0022807979675316587
Resp_std,0.0022706627789142704
WBC_missing_mean,0.002262640173212138
Calcium_last,0.0022616521835418075
Magnesium_trend,0.00224641361137715
WBC_missing_std,0.0022452614063636638
Creatinine_std,0.0022436754403694944
BaseExcess_missing_min,0.0022245926642255297
Hct_last,0.002180626406521821
Magnesium_mean,0.002170045492011237
HR_mean,0.0021619706244782027
Glucose_last,0.0021248840424959257
Magnesium_missing_mean,0.0021241795469373725
HCO3_missing_mean,0.002114184609327563
WBC_std,0.002112062716431757
Chloride_mean,0.002107450351085829
SaO2_missing_mean,0.002106035752765435
HR_trend,0.002097656179788604
Platelets_std,0.002095287764871393
Platelets_missing_std,0.002092497507400747
PaCO2_max,0.002081304355531413
MAP_min,0.0020794660666509385
BaseExcess_trend,0.002050284854814855
Glucose_trend,0.0020313027988833224
Chloride_missing_mean,0.0020311573522056423
Hgb_std,0.0020229663333088143
PaCO2_trend,0.0020192404276916905
Hct_trend,0.00199763298741646
Magnesium_missing_std,0.0019638626548079178
Calcium_min,0.0019576347290778005
BUN_trend,0.0019563109675023475
pH_min,0.0019486575824251501
Chloride_missing_std,0.0019438699463725272
SaO2_miss_rate,0.0019438202313674104
O2Sat_mean,0.0019344263284990547
Lactate_mean,0.0019316646675583114
Platelets_min,0.001906771130205863
Hgb_trend,0.0019051810436939711
HR_miss_rate,0.0018943169418956054
HCO3_miss_rate,0.0018783916039185509
WBC_trend,0.001876936656231543
Phosphate_max,0.0018671265819762337
BUN_missing_std,0.0018503026062055836
Lactate_trend,0.0018440243978000317
HR_missing_mean,0.00183044374514093
Platelets_mean,0.0018298971834025096
Lactate_max,0.0018236549099288118
O2Sat_missing_mean,0.0018157759685005547
Resp_max,0.0018155943722830143
Hgb_miss_rate,0.0018120041815555708
Hct_min,0.0018094112703748927
Platelets_missing_mean,0.0018036051780846317
O2Sat_missing_std,0.0017994372563503176
HCO3_mean,0.0017955209863589965
Platelets_max,0.0017849948558047175
SBP_missing_std,0.0017846335598545701
HCO3_missing_std,0.0017789770487185628
HCO3_max,0.0017754714064717038
Glucose_missing_std,0.001774908613744593
MAP_last,0.0017446294848396681
O2Sat_miss_rate,0.0017019264073921527
Hgb_missing_std,0.001694618604145753
Temp_std,0.0016864465060404548
Glucose_miss_rate,0.0016591001696734005
Glucose_mean,0.0016505099954355245
AST_missing_trend,0.0016488011063458083
PaCO2_mean,0.0016458738829592781
MAP_max,0.0016447872530456268
SBP_mean,0.0016442989634817024
Creatinine_miss_rate,0.0016371859142881213
Resp_last,0.001631743356964524
Temp_missing_mean,0.0016256691412982038
PTT_missing_mean,0.001624833499279284
Unit1,0.0016111168450939006
Bilirubin_total_missing_trend,0.001610599253472747
Magnesium_miss_rate,0.001609513326785719
Creatinine_missing_mean,0.0016050270588823343
DBP_mean,0.0016041409769524417
HR_missing_std,0.0015991771320043747
Temp_miss_rate,0.001596383042065306
pH_trend,0.0015901677102316896
Magnesium_std,0.0015864227156164113
Platelets_miss_rate,0.0015496120266761811
PTT_missing_std,0.001538174006334046
FiO2_trend,0.00153538686523724
O2Sat_min,0.00153359014475896
PaCO2_min,0.0015222995895107145
MAP_missing_mean,0.0014940738934254136
SBP_min,0.0014815609281457036
MAP_std,0.0014645757906095631
O2Sat_std,0.0014619041322113614
PTT_mean,0.0014611783757329257
Potassium_missing_std,0.001451959983481778
pH_max,0.0014477145091217427
SaO2_std,0.0014440804698631295
PTT_last,0.0014292324169337522
Creatinine_trend,0.0014065974723778537
Potassium_mean,0.0013963131905750338
Creatinine_missing_std,0.0013953744892136848
MAP_miss_rate,0.0013931246823207304
HCO3_last,0.0013818179055606044
Chloride_miss_rate,0.001378453760459274
Glucose_missing_mean,0.0013720805462282732
Phosphate_trend,0.0013688685176380332
Alkalinephos_missing_trend,0.0013634506303547096
FiO2_mean,0.0013622407691056796
FiO2_std,0.0013612909293018232
Magnesium_max,0.0013500344564003769
Potassium_miss_rate,0.001323907992445695
Calcium_trend,0.0013160733696838082
DBP_trend,0.0013125641102247265
Calcium_mean,0.001298400283915488
DBP_std,0.0012912001354056153
Chloride_last,0.0012902617727596345
DBP_missing_mean,0.0012715597213578036
AST_missing_std,0.001250069786964632
Hgb_missing_mean,0.001244019425876402
SaO2_missing_std,0.0012406531443708052
HR_std,0.001236574093291421
DBP_min,0.0012365349286854585
HCO3_min,0.0012354975051874003
Resp_missing_mean,0.0012348403382529234
PTT_min,0.0012171686786187348
PaCO2_last,0.0011972622998510983
Resp_missing_std,0.0011924390421837398
DBP_missing_std,0.0011899545108103008
Platelets_last,0.0011798345815502683
Potassium_missing_mean,0.0011566864077038755
PTT_std,0.001155480923943617
Potassium_max,0.00114458641220313
MAP_missing_std,0.0011277898235701564
Phosphate_mean,0.0011189438991362744
Calcium_max,0.0011120960924879658
PTT_max,0.0011029624837767041
PTT_miss_rate,0.0010993077802988404
BaseExcess_missing_last,0.0010701410493913074
pH_last,0.0010687804054156553
Resp_miss_rate,0.0010686793717236435
DBP_max,0.0010488924688745803
Potassium_min,0.0010439678279339222
DBP_last,0.001043253606822168
SBP_missing_last,0.0010166767537828452
AST_mean,0.0010162375322789604
Glucose_max,0.000992431525806788
Bilirubin_total_missing_std,0.0009520553804413848
pH_missing_last,0.0009453723512613111
Alkalinephos_max,0.0009200967539318623
DBP_miss_rate,0.0009075975737514881
Chloride_max,0.000902664184034707
Hct_missing_min,0.0009007189784334168
FiO2_missing_min,0.0008911733394947347
Magnesium_last,0.000884720646620685
Chloride_min,0.0008698103582722369
BaseExcess_min,0.0008635748738701839
PTT_trend,0.000843678805789656
Bilirubin_total_max,0.0008337538820103977
Alkalinephos_mean,0.0008309998996022271
Alkalinephos_miss_rate,0.0008294167322876766
Bilirubin_total_miss_rate,0.0008164435197952829
WBC_missing_min,0.0008131047051879176
BaseExcess_last,0.0008130733278860169
Magnesium_min,0.0008124172801737319
Temp_missing_std,0.0008063531528140413
Alkalinephos_last,0.0008020135382489683
AST_min,0.0008019924140546729
SBP_missing_min,0.0007951765057132824
SaO2_mean,0.0007656393557699789
HR_missing_last,0.0007539359526737986
HR_missing_max,0.0007537175734988438
Potassium_last,0.0007336850327982998
FiO2_max,0.0007233055432550266
FiO2_min,0.0007163751631459698
AST_miss_rate,0.0007070914201380246
Alkalinephos_min,0.0006957365371260307
AST_missing_mean,0.0006303072629374353
SaO2_trend,0.0006156136352963489
O2Sat_last,0.0006138109269795326
BUN_missing_min,0.0005808996511969537
Alkalinephos_missing_std,0.000562084695078709
Platelets_missing_min,0.0005560618157802112
Bilirubin_direct_mean,0.000549296420294262
Bilirubin_total_missing_mean,0.0005174940668449633
SaO2_min,0.0005150069635031141
MAP_missing_last,0.0005067407537991139
AST_max,0.0005061907491399081
SaO2_missing_min,0.0004960468060717936
AST_last,0.0004478924042657372
SaO2_last,0.0004364411024707176
Hgb_missing_min,0.0004326499809995443
Fibrinogen_missing_trend,0.0004224224954094775
Resp_missing_last,0.0004213726749126276
Bilirubin_total_min,0.00041159152549434297
Alkalinephos_missing_mean,0.0003901741522307846
Bilirubin_total_last,0.0003608259285455152
FiO2_last,0.0003501049467458202
Fibrinogen_mean,0.0003431510273311974
O2Sat_missing_max,0.0003322413213792655
O2Sat_missing_last,0.0003114183035333123
Creatinine_missing_min,0.0002854716972904973
Bilirubin_direct_last,0.00027165834623219567
Fibrinogen_std,0.0002655052202905261
Fibrinogen_missing_std,0.00026117688692888397
O2Sat_max,0.0002433440662666183
HCO3_missing_min,0.0002264220844277107
Bilirubin_total_missing_min,0.0002173347789057751
Gender,0.00021372867444305452
Fibrinogen_miss_rate,0.0002100961141628199
Glucose_missing_min,0.00019952087628561413
Bilirubin_direct_missing_std,0.00019897305491340018
Bilirubin_direct_missing_min,0.00019473222265545056
MAP_missing_max,0.00018826466145187016
Bilirubin_direct_missing_mean,0.00018556727265898963
Fibrinogen_min,0.0001854415014494299
Hct_missing_last,0.0001811952445727326
AST_trend,0.00017178266105170048
PaCO2_missing_min,0.00016883697542674129
Fibrinogen_missing_mean,0.00016316181103373075
Bilirubin_total_mean,0.00015777632412174958
Fibrinogen_trend,0.00015373697006856635
Bilirubin_total_trend,0.0001511972322515332
Resp_missing_max,0.00014681568665861745
Fibrinogen_last,0.00014549874042386207
Alkalinephos_std,0.000131430277264765
Alkalinephos_missing_min,0.00012310191361182294
PaCO2_missing_last,0.0001213337243861012
Fibrinogen_max,0.00011768052186463268
Calcium_missing_min,0.00011610569579644935
SaO2_max,0.00011437852704878554
Bilirubin_total_std,0.00011318390080574876
Alkalinephos_trend,0.00010014261511723832
Bilirubin_direct_miss_rate,8.338053038910582e-05
DBP_missing_min,8.130453603971837e-05
Hgb_missing_last,8.101142119243537e-05
Chloride_missing_last,7.114055145021995e-05
AST_missing_min,6.965813177559852e-05
Chloride_missing_min,6.644719649298574e-05
Temp_missing_last,6.155492984856235e-05
Phosphate_missing_min,6.149620118403624e-05
Bilirubin_direct_missing_trend,5.67680375550363e-05
PTT_missing_min,5.552518952078995e-05
Bilirubin_direct_min,5.325499896134098e-05
Bilirubin_direct_max,4.9690617830658074e-05
WBC_missing_last,4.7972876245223645e-05
PTT_missing_last,4.49648344102045e-05
TroponinI_missing_mean,4.131355480451144e-05
Potassium_missing_last,3.7531161047139875e-05
TroponinI_last,3.722083694581571e-05
TroponinI_missing_std,3.501102576584179e-05
SBP_missing_max,2.9201687913725723e-05
Calcium_missing_last,2.8527208931259615e-05
TroponinI_mean,2.4317734027828955e-05
Phosphate_missing_last,2.2990309158456402e-05
Platelets_missing_last,2.0712951655543154e-05
BUN_missing_last,1.922853085086133e-05
Glucose_missing_last,1.3065753089016914e-05
Temp_missing_max,9.964757019861224e-06
HCO3_missing_last,8.872364873304187e-06
TroponinI_std,7.886258840379403e-06
Potassium_missing_min,7.863937648357902e-06
Fibrinogen_missing_min,1.090694726199173e-17
AST_std,1.7485235172564803e-18
Magnesium_missing_min,1.2592570782755161e-18
Creatinine_missing_last,1.0377178382007666e-18
DBP_missing_max,8.386765720083751e-19
TroponinI_miss_rate,5.503049333161997e-19
Platelets_missing_max,0.0
Temp_missing_min,0.0
Bilirubin_direct_trend,0.0
HR_missing_min,0.0
O2Sat_missing_min,0.0
Bilirubin_direct_std,0.0
Hct_missing_max,0.0
MAP_missing_min,0.0
Fibrinogen_missing_max,0.0
PTT_missing_max,0.0
Hgb_missing_max,0.0
Fibrinogen_missing_last,0.0
TroponinI_missing_trend,0.0
WBC_missing_max,0.0
EtCO2_last,0.0
TroponinI_missing_max,0.0
EtCO2_miss_rate,0.0
Bilirubin_direct_missing_last,0.0
EtCO2_trend,0.0
Creatinine_missing_max,0.0
pH_missing_max,0.0
EtCO2_max,0.0
Chloride_missing_max,0.0
EtCO2_min,0.0
EtCO2_std,0.0
Alkalinephos_missing_max,0.0
PaCO2_missing_max,0.0
Alkalinephos_missing_last,0.0
TroponinI_min,0.0
BUN_missing_max,0.0
EtCO2_mean,0.0
TroponinI_max,0.0
SaO2_missing_last,0.0
TroponinI_trend,0.0
AST_missing_max,0.0
SaO2_missing_max,0.0
Bilirubin_direct_missing_max,0.0
Glucose_missing_max,0.0
TroponinI_missing_min,0.0
FiO2_missing_max,0.0
TroponinI_missing_last,0.0
Bilirubin_total_missing_max,0.0
Resp_missing_min,0.0
Bilirubin_total_missing_last,0.0
EtCO2_missing_last,0.0
Potassium_missing_max,0.0
EtCO2_missing_mean,0.0
EtCO2_missing_std,0.0
EtCO2_missing_min,0.0
Phosphate_missing_max,0.0
AST_missing_last,0.0
EtCO2_missing_max,0.0
EtCO2_missing_trend,0.0
Magnesium_missing_max,0.0
BaseExcess_missing_max,0.0
Magnesium_missing_last,0.0
Lactate_missing_max,0.0
HCO3_missing_max,0.0
Lactate_missing_last,0.0
Calcium_missing_max,0.0
